Product Code,Product Name,Variant,Expected,Counted
148321,OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Love Triangle,,1,0
155797,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ocean Way,,0,0
226577,Amazon fire TV stick with KODI,,-2,0
369125,Logitech® M325 Wireless Mouse,,9,0
460948,Samsung Galaxy Note 8 64GB Refurbished,,-1,0
481314,IPHONE 8 PLUS CHARGING PORT,,-6,0
734850,INCIPIO Desktop Charging,,-4,0
978939,Galaxy s9 plus back glass,,-1,0
1004546,Dell Latitude E6440 Laptop,,1,0
1152822,Galaxy A32 128GB,,-1,0
1465085,"mophie - Power Boost Power Bank 2,600 mAh - Black",,5,0
1536489,iPad 2,,-2,0
1635200,apple watch series 2 battery,,-1,0
1673539,Alcatel Lumos,,-2,0
1755132,3.5 AUX with Mic,,-3,0
1917102,iPad Mini 2 Wifi (16GB) Refurbished,,-3,0
1958538,iPhone Headphone (BL),,-28,0
2069326,Iphone 8 plus back housing,,-4,0
2145705,iPad Mini 3 Digitizer,,-4,0
2221831,galaxy J737 lcd,,-14,0
2426923,Samsung Galaxy A7,,-1,0
2439863,Sony PS$ Refurbished,,-1,0
2888147,Samsung S9 Plus Battery,,2,0
2900482,Fashinoable Bluetooth Headset,,-4,0
3091048,iPad Power Adap OEM,,-7,0
31262086303,Tune In Sweat Resistant In-ear headphone - Gray and white,,1,0
31262087225,Hang Up Bluetooth Speaker - Black and Blue,,1,0
31262087461,Hangup Bluetooth Speaker - Black and Blue,,2,0
3192992,Samsung J7 Battery,,-5,0
3344066,OtterBox - Commuter Case for Samsung Galaxy S10 - Black,,2,0
33991058491,SoundKase Extra Large Armband - Black,,2,0
3415678,Aduro power up 8000,,0,0
3899978,Amazon Cloud Cam,,-2,0
4085782,Samsung Tab A6,,-1,0
4291121,lg l57bl,,-1,0
4317385,Tab A Cellular 8.0',,3,0
4375090,LG Fiesta LTE,,-1,0
4515524,Lenovo Thinkpad Laptop,,-1,0
4544543,Kazuna E talk,,-1,0
4624572,LG MS210 LCD,,-2,0
4635667,Samsung Gear VR,,-1,0
4798492,OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Stardust,,1,0
4918736,Logitech Wireless Mouse (M325C),,-9,0
50036353397,JBL - Charge 4 water proof ,,2,0
50036353403,JBL- Charge 4 Waterproof bluetooh Speaker - Blue,,-3,0
50036353632,JBL- LIVE 400BT on ear Bluetooth Headphone-Black,,-1,0
50036353649,JBL- LIVE 400BT on ear Bluetooth Headphone-Blue,,1,0
50036353670,JBL- LIVE 400BT on ear Bluetooth Headphone-Red,,0,0
50036353687,JBL - LIVE 500BT over ear Bluetooth Headphone - Black ,,0,0
50036353694,JBL - LIVE 500BT over ear Bluetooth Headphone - Blue,,3,0
50036353724,JBL - LIVE 500BT over ear Bluetooth Headphone - Red,,-1,0
50036354165,Clip 3 Waterproof Bluetooth Speaker - Black,Blue,3,0
50036354165,Clip 3 Waterproof Bluetooth Speaker - Black,Red,0,0
050036354165 0,JBL - Clip 3 Waterproof Bluetooth Speaker - Blue,,1,0
50036354172,Clip 3 Waterproof Bluetooth Speaker - Red,,4,0
50036354196,JBL - Clip 3 Waterproof Bluetooth Speaker - Teal,,1,0
50036354288,Go 2 Waterproof Bluetooth Speaker - Black,Black,0,0
50036354288,Go 2 Waterproof Bluetooth Speaker - Black,Champagne Gold,0,0
50036354318,JBL- Go 2 Waterproof speaker - Gray,,0,0
50036354325,Go 2 Waterproof Bluetooth Speaker - Champagne Gold,,0,0
50036355469,JBL T Series T110 In Ear Wired Headphones - Black,,51,0
50036355483,JBL - T Series T110 Ear Wired Headphones - Blue,,26,0
50036355506,T Series T110BT In Ear Bluetooth Headphones - Black,,1,0
50036355513,T Series T110BT In Ear Bluetooth Headphones - White,,0,0
50036355520,T Series T110BT In Ear Bluetooth Headphones - Blue,,-1,0
50036355568,JBL - T Series T205 In Ear Wired Headphones - Black,,21,0
50036355582,JBL - T Series T205 In Ear Wired Headphones - Rose Gold,,-4,0
50036355599,JBL - T Series T205 In Ear Wired Headphones - Champagne Gold,,23,0
50036355674,JBL-T Series T500BT on ear bluetooth Headphone - Black ,,0,0
50036355711,JBL- T Series T600BTNC on Ear Headphone - Black,,0,0
50036355773,Endurance Run Waterproof In Ear Wired Headphones - Black,,13,0
50036355780,Endurance Run Waterproof In Ear Wired Headphones - Blue,,16,0
50036355797,Endurance Run Waterproof In Ear Wired Headphones - Red,,11,0
50036358644,T Series T205BT In Ear Bluetooth Headphones - Champagne Gold,,5,0
50036358668,T Series T205BT In Ear Bluetooth Headphones - Blue,,8,0
50036359276,Flip 5 Waterproof Bluetooth Speaker - Blue,,3,0
50036359283,Flip 5 Waterproof Bluetooth Speaker - Red,,0,0
50036359290,Flip 5 Waterproof Bluetooth Speaker - Grey,,0,0
50036361088,Flip 5 Waterproof Bluetooth Speaker - Black,Black,-1,0
50036361088,Flip 5 Waterproof Bluetooth Speaker - Black,Gray,0,0
50036362313,JBL - pulse 4 waterproof Speaker ,,1,0
50036364881,JBL - Tune 115BT Wireless Earbuds,,4,0
50036365116,JBL - Live 300TWS True Wireless In Ear Bluetooth Headphones - Black,,2,0
50036369091,JBL - Tune 700BT over Ear Bluetooth Headphones,,0,0
50036374033,JBL - Tune 225 True Wireless Earbud Bluetooth Headphones - Black,,3,0
50036374262,JBL- Go 3 waterproof Speaker ,,2,0
5020479,STYLO 6 64GB,,-1,0
5081749,OtterBox - Symmetry Case for Samsung Galaxy S10 Plus - Ivy Meadow,,1,0
5163093,Generic Cases S7 Edge,,-19,0
5297479,alcatel 1B ,,-3,0
5807362,Alcatel Glimpse,,-2,0
5838092,Iphone Versus case,,10,0
6004982,Apple Watch Band,,-2,0
6153941,Samsung Galaxy Halo,,2,0
6243732,Samsung Fast Adapter,,-4,0
6472890,Generic Tablet Digitizer,,-6,0
6583738,Pet Speaker,,9,0
6678351,LG k30 tmobile LCD,,-2,0
6925103,Aristo 2 Plus LCD,,-1,0
7004753,iPhone 7 Lightning Adpater,,-5,0
7113875,OtterBox - Symmetry Clear Case for Samsung Galaxy S10 Plus - Gradient Energy,,1,0
7337094,USB Adapter IP OEM,,27,0
7476832,Samsung Galaxy Core Prime,,0,0
7483939,iPhone XS max 64 GB,,-1,0
7551943,Macbook Pro,,-2,0
7768998,Galaxy A20s,,2,0
7925273,iPhone 6S Plus 16GB (Refurbished),,0,0
8038772,iPhone 4S LCD ,Black,-1,0
8054046,DEVICE UNLOCK (CARRIER),,-29,0
8206564,iphone 7 plus 256GB Refurbished unlocked,Jet Black,1,0
8206564,iphone 7 plus 256GB Refurbished unlocked,Prroduct Red,-1,0
8245412,Microsoft Surface Book 1703 1704 Pixelsense LCD Touch Screen Assembly USA,,-1,0
8307400,"15.6"" laptop case",,-1,0
8441087,Samsung J2 Battery,,0,0
8455825,samsung galaxy j8,,0,0
8643794,Samsung Lcd SM-A750G,,-2,0
8.78615E+11,Jib In Ear Wired Headphones - White and Black,,10,0
8803802,Zte Blade Z,,-7,0
8890616,"Belkin - Boost Up Charge Multi Port Power Bank 10,000 mAh - Black",,4,0
9071612,Galaxy J7 sky pro (Total wireless $50 plan),,0,0
9167549,Gogroove Bass Pulse 2.1,,-1,0
9264681,Z981 Battery,,-1,0
9403251,Galaxy J7 crown,,-9,0
9495331,Skullcandy - Indy True Wireless In Ear Bluetooth Earbuds - Black,,3,0
9673514,Genuine Dell Inspiron 3264 Capacitive Touch Digitizer YP78X 0YP78X,,1,0
9694546,"mophie - Power Boost XXL Power Bank 20,800 mAh -  Black",,2,0
9871738,OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Black,,1,0
9910059,iPhone 6S Plus Battery,,-44,0
10000004,Galaxy S6 Edge,,0,0
10000006,Galaxy S7,,0,0
10000007,Galaxy S7 Edge,,-1,0
10000008,Galaxy S8,,-1,0
10000009,Galaxy S8 +,,0,0
10000016,Galaxy J7,,-3,0
10000017,Galaxy J7 Prime 16GB,,0,0
10000018,Galaxy J3,,-1,0
10000022,iPhone 4,,-1,0
10000024,iPhone 5,,-2,0
10000025,iPhone 5S Unlocked Refurbished,,0,0
10000027,iPhone 6 16GB (New),,-1,0
10000028,iPhone 6 Plus,,1,0
10000029,iPhone 6S,,-20,0
10000030,iPhone 6S Plus,,-7,0
10000031,iPhone 7 32GB Refurbished Unlocked,,-13,0
10000032,iPhone 7 Plus,,-15,0
10000033,iPhone 8,,-15,0
10000034,iPhone 8 Plus,,-8,0
10000035,iPhone X 64 GB Refurbished ,Black,-22,0
10000035,iPhone X 64 GB Refurbished ,Silver,2,0
10000036,Bluetooth Speaker,,-20,0
10000037,Speaker,,0,0
10000038,Misc.,,-4708,0
10000039,Car Mount,,-14,0
10000043,Samsung Wireless Charger,,-5,0
10122652,Samsung Active Headphones,,-1,0
10265609,Alacatel B1,,-2,0
10275596,Blu C6,,0,0
10353288,iPad Battery,,-3,0
10436940,inland intruder alert,,-2,0
10567056,APPLE MacBook Air 13 A1369 2011 i5 1.7GHz 4GB Logic Board Motherboard 820-3023-A,,1,0
1.07082E+11,iPhone 12/12 Pro LCD,,-10,0
1.07082E+11,iPhone 12 Mini LCD,,-3,0
1.07082E+11,iPhone 12 Pro Max LCD,,0,0
10816366,LCD Replace/Repair,,-9,0
10828710,iPhone 6S Plus (32GB),,-2,0
10961958,samsung charging cable,,-3,0
10963093,LG rebel 2 (SMPL Mobile $30 Plan),,0,0
11056958,Galaxy s9 rear camera,,0,0
11465883, Z Play XT1635-01 LCD,,0,0
11519181,Spigen - Tough Armor Case for Apple AirPods - Charcoal,,2,0
11556598,Logitech Wireless Keyboard+Mouse,,-5,0
11627841,iPhone 11 Pro 256GB Refurbished,,-1,0
11978736,Magnet Car Mount,,-3,0
12020078,Galaxy A70 128GB,,-2,0
12070413,Samsung Galaxy S9 Plus,Black,-3,0
12070413,Samsung Galaxy S9 Plus,Blue,1,0
12070413,Samsung Galaxy S9 Plus,Purple,0,0
12144102,Airpods Pro,,-1,0
12225838,Ethernet Cable,,-5,0
123,case and temper glass,,-1,0
1234,simple mobile phone,,-8,0
12395359,iPhone XR 64gb refurbished,,-10,0
12453537,iphone xs 256 GB NEW,,0,0
12619133,iPhone XR charging port,,-1,0
12655772,Galaxy S8 Plus LCD,,-20,0
12763892,iPad Air Digitizer,,-8,0
13044189,iPad mini Digitizer,,-18,0
13077544,HP Laptop,,-1,0
131313,iPhone 13,,-1,0
13138190,HTC 10 Evo ,,-1,0
13171716,Galaxy A01 core,,-12,0
13221086,Samsung S8 Plus Back door glass,,-17,0
13274368,iphone 6s Charging port,,-4,0
1341324134,Samsung J727 LCD ,,-12,0
13440263,Samsung S7 Edge Charging Port,,-1,0
13500001,Playstation VR Bundle,,1,0
14394524,2M Cable IP5/6 OEM,,24,0
14500802,Samsung S8 headphone (AKG IG-955),,-6,0
14724960,iPhone 12 Pro Max 256GB,,0,0
15029436,Lg Phoenix 3 (ATT),,2,0
15136580,JBL - Clip 3 Waterproof Bluetooth Speaker - Gray,,-1,0
15291259,Samsung Note 5 Back door glass,,-1,0
15567557,iphone 7 rear camera,,-1,0
15580164,Toshiba Portable Hard Drive,,-4,0
15613382,1M Cable IP5/6 OEM,,80,0
15723729,Belkin - Wireless Charging Pad 10W - Black,,2,0
15914670,Samsung s6 Edge LCD ,Blue,1,0
15914670,Samsung s6 Edge LCD ,Black,-4,0
16292156,Otterbox - Symmetry Case for Apple iPhone Xs Max - Black,,0,0
16621089,Galaxy J4+ 16 GB,,-1,0
16789122,Samsung Galaxy S8 (Refurbished),,-1,0
17271426,Galaxy S8 Battery,,-2,0
17477021,LG X220PM,,-1,0
17507189,iPhone Back Camera Glass,,-1,0
17525177,SmartWatch ,,-3,0
17540701,Flip 2,,2,0
17545513,Rebel 3 with $25 SMPL mobile plan,,-1,0
17547048,Car Universal Holder,,-3,0
17559817,BLU Dash M2,,-1,0
17664116,iPhone 7 Plus Charging Port,,-17,0
17668889,Belkin Car Charger IP,,-2,0
18107956,Galaxy j3 orbit,,-5,0
18117013,iPhone 7 Headphone,,44,0
18212006,Samsung Fast Charger,,-37,0
18251246,"Lenovo 110-15ISK 15.6"" Laptop - Intel Core i3 - 6GB Memory - 1TB Hard Drive",,-1,0
18254468,OtterBox - Commuter Case for Samsung Galaxy S10 Plus - Bespoke Way,,1,0
18309917,Macbook Pro Battery,,0,0
18444618,IPhone 8 Plus 256GB Refurbished,Black,-3,0
18444618,IPhone 8 Plus 256GB Refurbished,Gold,2,0
18444618,IPhone 8 Plus 256GB Refurbished,Silver,0,0
18728028,AIRPODS PRO,,-1,0
18868541,Samsung 1350 Bluetooth headphone,,0,0
1.91058E+11,UA Protect Dry Bag - Black and Clear,,3,0
1.91058E+11,Incipio-Ghost110 Wireless Charging pad 5W-Black,,2,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 mini - Hollyhock Floral,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Hollyhock Floral,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Hollyhock Floral,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 mini - Daisy,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Daisy,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Daisy,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 mini - Scattered Flowers,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 / 12 Pro - Scattered Flowers,,1,0
1.91058E+11,Kate Spade - Hardshell Case for Apple iPhone 12 Pro Max - Scattered Flowers,,1,0
19128899,Apple Watch Series 3 38mm,,0,0
19147381,galaxy s9 back glass,,-8,0
19160528,ZTE Z222,,-1,0
19284650,Samsung Galaxy J2 Prime,,-1,0
19303320,INSTALLATION CHARGE,,-2,0
19360684,Galaxy Note 3 Battery,,2,0
19696300,Otterbox - Symmetry Case for Apple iPhone Xs Max - Tonic Violet,,1,0
19779061,Note 10 plus headphone,,-1,0
19936546,iphone flower case,,8,0
19961111,1M Cable IP XS MAX OEM,,-3,0
20049949,MacBook Air 13 Inch,,-1,0
20211309,Galaxy J7 Star ,,0,0
20255572,Huawei P Smart,,0,0
20380561,Ipad pro A1674 LCD,,-2,0
21035050,Motorola Power pack 4000,,-1,0
21068824,Apple Ipad 16 GB,,-1,0
21094319,iPhone 7 128GB Refurbished,Jet Black,3,0
21094319,iPhone 7 128GB Refurbished,Red,0,0
21094319,iPhone 7 128GB Refurbished,Black,-4,0
21581054,Transcend 8GB USB flash drive,,-1,0
21848408,iPhone 7 Plus 128GB Refurbished,Black,-5,0
21848408,iPhone 7 Plus 128GB Refurbished,Rose Gold,1,0
21848408,iPhone 7 Plus 128GB Refurbished,Red,-3,0
21848408,iPhone 7 Plus 128GB Refurbished,Silver,0,0
21848408,iPhone 7 Plus 128GB Refurbished,Gold,1,0
21949605,Galaxy J7 Neo 16GB,,0,0
22126341,Samsung phone cable,,-1,0
22170715,Moto G Pure,,-1,0
22311756,Samsung Galaxy A10e,,-2,0
22398603,Top Tech Kids Tab ,,-1,0
22577601,TracFone Flip phone,,-2,0
22580438, Galaxy A03s,,-3,0
22602047,ASUS K501UX,,2,0
22716320,iPhone SE 16GB Refurbished,,-4,0
22812391,Logitech MK235 Wirless Mouse & Keyboard Combo,,2,0
23100395,Generic Headphone,,-11,0
23109570,HP Pavillion Dv6,,-2,0
23216383,JBL FOCUS BT Headphones,,-6,0
23333208,ZTE Axon M,,2,0
23572741,Samsung J2 Pro,,-2,0
23592210,USB 3.0 Gigabit RJ45 Ethernet Lan Network Cable Adapter Hub,,5,0
23648899,Otterbox - Commuter Case for Apple iPhone Xs Max - Ocean Way,,0,0
23714620,LG Rebel 4 (with $25 plan),,-6,0
23721475,VTECH Home phone set,,-1,0
23723791,Spigen - Tough Armor Case for Apple AirPods - Black,,2,0
23924776,XBOX CONTROLLER,,-1,0
23983779,A30s,,-1,0
24079812,Tmobile sim card,,-1,0
24080383,Galaxy Note 9 Unlocked,,-1,0
24120861,Logitech® MK320 Wireless Desktop Keyboard/Mouse,,2,0
24187212,EVO 256 GB SSD,,-2,0
24242175,Iphone XR 256 GB,,1,0
24283905,COBY Mini Stereo,,-1,0
24327663,Otterbox - Symmetry Case for Apple iPhone Xs / X - On Fleck,,1,0
24602622,Samsung S9 Battery,,0,0
24702183,A1446 LCD - A1446 LCD ,,0,0
25017569,Diagnostics,,-1,0
25115200,Samsung Galaxy AMP Prime,,1,0
25174948,Screen Replacement,,-1,0
25185244,iPhone 6 Plus Charging Port,,-6,0
25273399,HP Elite book Core i7,,0,0
25298206,iphone gucci case,,0,0
25316227,Amazon Fire 7 Kids Edition,,-7,0
25417788,ipad pro 12.9 inch A1670 LCD,,-2,0
25525005,AC Power Adapter (Multi Functions),,-1,0
25532051,Otterbox - Commuter Case for Apple iPhone Xs / X - Ballet Way,,0,0
25803284,SONY Compact Style (MDR-EX110AP),,17,0
25820439,OtterBox - Commuter Case for Samsung Galaxy S10 - Ballet Way,,1,0
25839827,Skullcandy - Jib Active In Ear Wireless Headphones - Blac,,10,0
25884632,iPhone 5s Battery,,2,0
25890659,Otterbox - Symmetry Case for Apple iPhone Xs Max - Ashed For It,,0,0
25933770,Samsung J3 2017 Prime J327 LCD,black,1,0
25933770,Samsung J3 2017 Prime J327 LCD,sliver,2,0
26041944,iPhone Camera Lens,,-2,0
26321587,Galaxy M20,,0,0
26557212,Screen Protector,,-1E+11,0
26995259,iPhone 6 Plus Home button,,-5,0
27085652,Samsung Galaxy  J4 32GB,,-2,0
27169127,Otterbox - Commuter Case for Apple iPhone XR - Ocean Way,,0,0
27170827,Inland USB Mouse,,6,0
27430456,Dell E6530,,-1,0
27646566,Otterbox - Symmetry Case for Apple iPhone Xs / X - Fine Port,,1,0
27814536,Coolpad 3300A 4GB Black LCD AND DIGITIZER,,-1,0
27836671,SONY PS 4 1TB,,1,0
28174795,HP Laptop,,-4,0
28336439,Ipad mini 1 LCD,,1,0
28452994,Motorola 105 Bluetooth headphone with alexa,,4,0
28612410,iPad LCD and Digitizer ,Black,-22,0
28859500,Samsung Galaxy Tab E 8.0 T377T WiFi + 4G,,1,0
28931689,LG K20 LCD,,-3,0
28985585,Galaxy A51,,1,0
28997859,Samsung J6 32GB,,0,0
29116479,Motorola HK115,,-2,0
29262124,samsung U Headphones,,3,0
29290923,iPhone SE Battery,,3,0
29295201,LG K8V (VER) - with $40 plan,,0,0
29775050,Iphone 7 32 GB,,-4,0
29822100,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ballet Way,,1,0
29914775,Samsung S7 Edge Back Camera Lense,,-2,0
30121762,Air Pod Pro,,2,0
30392909,iPhone XS Max rear camera,,-1,0
30393339,HP Laptop (Refurbished),,-1,0
30402060,iPhone 6 16GB (Refurbished),,0,0
30418401,Otterbox - Commuter Case for Apple iPhone Xs / X - Black,,2,0
30418502,Unlock Service,,-4137,0
30438348,OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Ivy Meadow,,1,0
30616578,Alcatel A 30 Plus,,1,0
30632467,Samsung galaxy s9 ,,-5,0
30997954,iphone XS Max 64GB Refurbished,,-3,0
31028459,alcatel volta,,-3,0
31044079,Air Pods 2,,-4,0
31047466,Xbox One S 1TB Console,,0,0
31089865,Galaxy S7 Battery,,1,0
31154554,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Black,,-2,0
31256940,Tab Affix,,0,0
31486031,T&G bluetooth speaker,,3,0
31530910,Iphone XR 64 GB (Refurbished) ,,-3,0
31732374,HP EliteBook Folio 9480m i5-4210,,1,0
